# IVD_Sequences
#
# History:
#
# 2014-05-16 Combined registration of the Moji_Joho collection and of
#            sequences in that collection.
#
# 2012-07-02 File restored due to corruption on the server.
#
# 2012-03-02 Registration of additional sequences in the Adobe-Japan1
#            collection. Registration of additional sequences in the
#            Hanyo-Denshi collection.
#
# 2010-11-14 Combined registration of the Hanyo-Denshi collection and of
#            sequences in that collection.
#
# 2007-12-14 Combined registration of the Adobe-Japan1 collection and of
#            sequences in that collection.
#
# This file is part of the Unicode Ideographic Variation Database (IVD).
# For more details on the IVD, see UTS #37:
# http://www.unicode.org/reports/tr37/
#
# Copyright 2006-2014 Unicode, Inc.
# For terms of use, see: http://www.unicode.org/terms_of_use.html
#
3402 E0100; Adobe-Japan1; CID+13698
68E1 E0100; Adobe-Japan1; CID+5215
68E3 E0100; Adobe-Japan1; CID+5225
68E4 E0100; Adobe-Japan1; CID+17820
68E5 E0100; Adobe-Japan1; CID+17821
68E6 E0100; Hanyo-Denshi; IP68E6
68E6 E0101; Hanyo-Denshi; TK01043860
68E7 E0100; Adobe-Japan1; CID+5219
68E8 E0100; Adobe-Japan1; CID+14638
68EA E0100; Adobe-Japan1; CID+21772
68EB E0100; Adobe-Japan1; CID+19454
68EC E0100; Adobe-Japan1; CID+17822
68ED E0100; Adobe-Japan1; CID+14639
68EE E0100; Adobe-Japan1; CID+2559
68EF E0100; Adobe-Japan1; CID+5229
68F0 E0100; Adobe-Japan1; CID+14640
68F1 E0100; Adobe-Japan1; CID+14641
68F2 E0100; Adobe-Japan1; CID+2647
68F5 E0100; Adobe-Japan1; CID+19455
68F6 E0100; Adobe-Japan1; CID+21773
68F7 E0100; Adobe-Japan1; CID+17823
68F9 E0100; Adobe-Japan1; CID+5227
68FA E0100; Adobe-Japan1; CID+1529
68FB E0100; Adobe-Japan1; CID+17813
68FB E0101; Hanyo-Denshi; JB3618
68FB E0101; Moji_Joho; MJ014094
68FB E0102; Hanyo-Denshi; KS169140
68FB E0102; Moji_Joho; MJ014095
68FC E0100; Adobe-Japan1; CID+14642
68FD E0100; Adobe-Japan1; CID+21774
6900 E0100; Adobe-Japan1; CID+4086
6900 E0101; Hanyo-Denshi; JA4748
6900 E0102; Hanyo-Denshi; JTB33E
6901 E0100; Adobe-Japan1; CID+5209
6902 E0100; Hanyo-Denshi; IP6902
6902 E0101; Hanyo-Denshi; TK01044810
6903 E0100; Adobe-Japan1; CID+17824
6903 E0101; Hanyo-Denshi; JD1506
6903 E0102; Hanyo-Denshi; TK01044820
6904 E0100; Adobe-Japan1; CID+5223
6905 E0100; Adobe-Japan1; CID+1180
6906 E0100; Adobe-Japan1; CID+21775
6906 E0101; Hanyo-Denshi; JB3621
6906 E0102; Hanyo-Denshi; TK01044830
6907 E0100; Adobe-Japan1; CID+17825
6907 E0101; Hanyo-Denshi; JD1507
6907 E0101; Moji_Joho; MJ014111
6907 E0102; Hanyo-Denshi; IP6907
6907 E0102; Moji_Joho; MJ014110
6908 E0100; Adobe-Japan1; CID+5211
6909 E0100; Adobe-Japan1; CID+21776
690A E0100; Adobe-Japan1; CID+16903
690B E0100; Adobe-Japan1; CID+3782
690C E0100; Adobe-Japan1; CID+5216
690C E0101; Hanyo-Denshi; JA5993
690C E0101; Moji_Joho; MJ014116
690C E0102; Hanyo-Denshi; JTB33D
690C E0102; Moji_Joho; MJ014117
690D E0100; Adobe-Japan1; CID+2536
690D E0101; Adobe-Japan1; CID+13465
690D E0102; Adobe-Japan1; CID+13845
690D E0103; Hanyo-Denshi; JA3102
690D E0103; Moji_Joho; MJ014118
690D E0104; Hanyo-Denshi; KS170180
690D E0104; Moji_Joho; MJ057753
690D E0105; Hanyo-Denshi; TK01044570
690E E0100; Adobe-Japan1; CID+3043
690F E0100; Adobe-Japan1; CID+5206
6910 E0100; Adobe-Japan1; CID+21777
6911 E0100; Adobe-Japan1; CID+14643
6911 E0101; Hanyo-Denshi; JB3625
6911 E0101; Moji_Joho; MJ014123
6911 E0102; Hanyo-Denshi; KS168340
6911 E0102; Moji_Joho; MJ057741
6912 E0100; Adobe-Japan1; CID+5222
6913 E0100; Adobe-Japan1; CID+14644
6914 E0100; Hanyo-Denshi; IP6914
6914 E0100; Moji_Joho; MJ014126
6914 E0101; Hanyo-Denshi; KS170290
6914 E0101; Moji_Joho; MJ014127
6916 E0100; Adobe-Japan1; CID+21778
6916 E0101; Hanyo-Denshi; JB3627
6916 E0102; Hanyo-Denshi; TK01044840
6917 E0100; Adobe-Japan1; CID+19456
6919 E0100; Adobe-Japan1; CID+2624
691A E0100; Adobe-Japan1; CID+5232
691B E0100; Adobe-Japan1; CID+1487
691B E0101; Hanyo-Denshi; JA1981
691B E0101; Moji_Joho; MJ014135
691B E0102; Hanyo-Denshi; KS169840
691B E0102; Moji_Joho; MJ014136
691B E0103; Moji_Joho; MJ014137
691C E0100; Adobe-Japan1; CID+1877
6921 E0100; Adobe-Japan1; CID+5234
6922 E0100; Adobe-Japan1; CID+5213
6923 E0100; Adobe-Japan1; CID+5233
6925 E0100; Adobe-Japan1; CID+5226
6926 E0100; Adobe-Japan1; CID+5214
6926 E0101; Hanyo-Denshi; JA5991
6926 E0101; Moji_Joho; MJ014143
6926 E0102; Hanyo-Denshi; FT2246
6926 E0102; Moji_Joho; MJ014144
6928 E0100; Adobe-Japan1; CID+5230
692A E0100; Adobe-Japan1; CID+5231
6930 E0100; Adobe-Japan1; CID+5248
6930 E0101; Adobe-Japan1; CID+13552
6930 E0102; Moji_Joho; MJ014149
6930 E0103; Moji_Joho; MJ014150
6931 E0100; Adobe-Japan1; CID+21779
6931 E0101; Hanyo-Denshi; JB3629
6931 E0102; Hanyo-Denshi; TK01044900
6932 E0100; Hanyo-Denshi; IP6932
6932 E0101; Hanyo-Denshi; KS170280
6933 E0100; Adobe-Japan1; CID+19457
6934 E0100; Adobe-Japan1; CID+3238
6935 E0100; Adobe-Japan1; CID+14645
6936 E0100; Adobe-Japan1; CID+5221
6938 E0100; Adobe-Japan1; CID+19458
6939 E0100; Adobe-Japan1; CID+5244
6939 E0101; Hanyo-Denshi; JA6027
6939 E0101; Moji_Joho; MJ014160
6939 E0102; Hanyo-Denshi; KS172060
6939 E0102; Moji_Joho; MJ014161
6939 E0103; Hanyo-Denshi; TK01044930
693B E0100; Adobe-Japan1; CID+14646
693D E0100; Adobe-Japan1; CID+5246
693D E0101; Adobe-Japan1; CID+20147
693D E0102; Hanyo-Denshi; JA6029
693D E0102; Moji_Joho; MJ014165
693D E0103; Hanyo-Denshi; FT2249S
693D E0103; Moji_Joho; MJ014166
693D E0104; Moji_Joho; MJ014167
693F E0100; Adobe-Japan1; CID+3060
6942 E0100; Adobe-Japan1; CID+16906
6945 E0100; Adobe-Japan1; CID+21780
6946 E0100; Adobe-Japan1; CID+17829
6946 E0101; Hanyo-Denshi; JD1513
6946 E0101; Moji_Joho; MJ014177
6946 E0102; Hanyo-Denshi; IP6946
6946 E0102; Moji_Joho; MJ014176
6949 E0100; Adobe-Japan1; CID+16904
6949 E0101; Hanyo-Denshi; JB3636
6949 E0101; Moji_Joho; MJ014180
6949 E0102; Hanyo-Denshi; KS170660
6949 E0102; Moji_Joho; MJ014181
694A E0100; Adobe-Japan1; CID+3894
694E E0100; Adobe-Japan1; CID+21781
6953 E0100; Adobe-Japan1; CID+3560
6954 E0100; Adobe-Japan1; CID+5241
6954 E0101; Hanyo-Denshi; JA6024
6954 E0101; Moji_Joho; MJ014193
6954 E0102; Hanyo-Denshi; KS170860
6954 E0102; Moji_Joho; MJ014192
6954 E0103; Hanyo-Denshi; FT2247
6954 E0103; Moji_Joho; MJ014194
6954 E0104; Hanyo-Denshi; KS171970S
6954 E0104; Moji_Joho; MJ057766
6955 E0100; Adobe-Japan1; CID+2858
6956 E0100; Hanyo-Denshi; IP6956
6956 E0100; Moji_Joho; MJ014196
6956 E0101; Hanyo-Denshi; JTB357
6956 E0101; Moji_Joho; MJ014197
6957 E0100; Adobe-Japan1; CID+14647
6957 E0101; Moji_Joho; MJ014198
6957 E0102; Moji_Joho; MJ014199
6959 E0100; Adobe-Japan1; CID+5247
695A E0100; Adobe-Japan1; CID+2753
695B E0100; Adobe-Japan1; CID+19459
695B E0101; Hanyo-Denshi; JB3639
695B E0101; Moji_Joho; MJ014203
695B E0102; Hanyo-Denshi; KS170990
695B E0102; Moji_Joho; MJ014204
695C E0100; Adobe-Japan1; CID+5238
695D E0100; Adobe-Japan1; CID+5251
695E E0100; Adobe-Japan1; CID+5250
695E E0101; Adobe-Japan1; CID+20148
695E E0102; Hanyo-Denshi; JA6033
695E E0102; Moji_Joho; MJ014208
695E E0103; Hanyo-Denshi; JTB356
695E E0103; Moji_Joho; MJ014207
6960 E0100; Adobe-Japan1; CID+3271
6961 E0100; Adobe-Japan1; CID+5249
6961 E0101; Hanyo-Denshi; JA6032
6961 E0102; Hanyo-Denshi; TK01044910
6962 E0100; Adobe-Japan1; CID+3266
6962 E0101; Adobe-Japan1; CID+7768
6962 E0102; Hanyo-Denshi; JA3874
6962 E0102; Moji_Joho; MJ014213
6962 E0103; Hanyo-Denshi; HG1666
6962 E0103; Moji_Joho; MJ014214
6962 E0104; Hanyo-Denshi; TK01045040
6962 E0105; Moji_Joho; MJ014215
6963 E0100; Adobe-Japan1; CID+14648
6964 E0100; Adobe-Japan1; CID+16907
6965 E0100; Adobe-Japan1; CID+19460
6966 E0100; Adobe-Japan1; CID+21782
6968 E0100; Adobe-Japan1; CID+8498
6969 E0100; Adobe-Japan1; CID+17830
696A E0100; Adobe-Japan1; CID+5253
696B E0100; Adobe-Japan1; CID+5240
696B E0101; Adobe-Japan1; CID+13551
696B E0102; Moji_Joho; MJ014224
696B E0103; Moji_Joho; MJ014225
696C E0100; Adobe-Japan1; CID+17831
696D E0100; Adobe-Japan1; CID+1728
696D E0101; Hanyo-Denshi; JA2240
696D E0102; Hanyo-Denshi; KS172010
696E E0100; Adobe-Japan1; CID+5243
696E E0101; Hanyo-Denshi; JA6026
696E E0101; Moji_Joho; MJ014229
696E E0102; Hanyo-Denshi; FT2248
696E E0102; Moji_Joho; MJ014228
696F E0100; Adobe-Japan1; CID+2407
696F E0101; Adobe-Japan1; CID+13460
696F E0102; Hanyo-Denshi; JA2961
696F E0103; Hanyo-Denshi; TK01044920
696F E0104; Moji_Joho; MJ014230
696F E0105; Moji_Joho; MJ014231
6970 E0100; Adobe-Japan1; CID+21783
6971 E0100; Adobe-Japan1; CID+21784
6972 E0100; Adobe-Japan1; CID+14649
6973 E0100; Adobe-Japan1; CID+3350
6974 E0100; Adobe-Japan1; CID+5245
6975 E0100; Adobe-Japan1; CID+1731
6977 E0100; Adobe-Japan1; CID+5237
6978 E0100; Adobe-Japan1; CID+5239
6979 E0100; Adobe-Japan1; CID+5236
697A E0100; Adobe-Japan1; CID+17832
697B E0100; Adobe-Japan1; CID+21785
697C E0100; Adobe-Japan1; CID+4054
697D E0100; Adobe-Japan1; CID+1464
697E E0100; Adobe-Japan1; CID+5242
697F E0100; Adobe-Japan1; CID+14650
6980 E0100; Adobe-Japan1; CID+14651
6981 E0100; Adobe-Japan1; CID+5252
6982 E0100; Adobe-Japan1; CID+1427
6982 E0101; Adobe-Japan1; CID+13403
6982 E0102; Adobe-Japan1; CID+13423
6982 E0103; Adobe-Japan1; CID+13680
6982 E0104; Moji_Joho; MJ014250
6982 E0105; Moji_Joho; MJ014251
6986 E0100; Adobe-Japan1; CID+14144
6986 E0101; Hanyo-Denshi; FT2250
6986 E0102; Hanyo-Denshi; TK01045000
698A E0100; Adobe-Japan1; CID+2135
698A E0101; Adobe-Japan1; CID+7686
698A E0102; Hanyo-Denshi; JA2671
698A E0102; Moji_Joho; MJ014255
698A E0103; Hanyo-Denshi; FT1808
698A E0103; Moji_Joho; MJ014256
698D E0100; Adobe-Japan1; CID+21786
698E E0100; Adobe-Japan1; CID+1279
698F E0100; Hanyo-Denshi; IP698F
698F E0101; Hanyo-Denshi; TK01045470
6991 E0100; Adobe-Japan1; CID+5269
6991 E0101; Hanyo-Denshi; JA6052
6991 E0101; Moji_Joho; MJ014262
6991 E0102; Hanyo-Denshi; FT2253
6991 E0102; Moji_Joho; MJ014263
6991 E0103; Hanyo-Denshi; TK01045350
6992 E0100; Adobe-Japan1; CID+17833
6992 E0101; Hanyo-Denshi; JB3655
6992 E0101; Moji_Joho; MJ014264
6992 E0102; Hanyo-Denshi; JTB36B
6992 E0102; Moji_Joho; MJ014265
6994 E0100; Adobe-Japan1; CID+4055
6994 E0101; Adobe-Japan1; CID+7812
6994 E0102; Hanyo-Denshi; JA4717
6994 E0102; Moji_Joho; MJ014267
6994 E0103; Hanyo-Denshi; FT1940
6994 E0103; Moji_Joho; MJ014268
6994 E0104; Hanyo-Denshi; TK01044740
6995 E0100; Adobe-Japan1; CID+5272
6996 E0100; Adobe-Japan1; CID+17835
6998 E0100; Adobe-Japan1; CID+8500
6998 E0101; Hanyo-Denshi; JB3657
6998 E0101; Moji_Joho; MJ014273
6998 E0102; Hanyo-Denshi; IB2120
6998 E0102; Moji_Joho; MJ014274
699B E0100; Adobe-Japan1; CID+2560
699C E0100; Adobe-Japan1; CID+5271
699C E0101; Hanyo-Denshi; JA6054
699C E0101; Moji_Joho; MJ014277
699C E0102; Hanyo-Denshi; KS173690
699C E0102; Moji_Joho; MJ014278
69A0 E0100; Adobe-Japan1; CID+5270
69A1 E0100; Adobe-Japan1; CID+21787
69A3 E0100; Hanyo-Denshi; IP69A3
69A3 E0100; Moji_Joho; MJ014284
69A3 E0101; Hanyo-Denshi; KS173400
69A3 E0101; Moji_Joho; MJ014285
69A3 E0102; Hanyo-Denshi; TK01044890
69A5 E0100; Adobe-Japan1; CID+16908
69A6 E0100; Adobe-Japan1; CID+14652
69A6 E0101; Hanyo-Denshi; JB3660
69A6 E0102; Hanyo-Denshi; TK01005980
69A7 E0100; Adobe-Japan1; CID+5267
69A7 E0101; Adobe-Japan1; CID+13553
69A7 E0102; Moji_Joho; MJ014290
69A7 E0103; Moji_Joho; MJ014291
69A8 E0100; Adobe-Japan1; CID+19461
69AB E0100; Adobe-Japan1; CID+19462
69AD E0100; Adobe-Japan1; CID+14653
69AE E0100; Adobe-Japan1; CID+5255
69AF E0100; Adobe-Japan1; CID+19463
69B0 E0100; Adobe-Japan1; CID+17836
69B1 E0100; Adobe-Japan1; CID+5284
69B2 E0100; Adobe-Japan1; CID+5254
69B4 E0100; Adobe-Japan1; CID+5273
69B6 E0100; Hanyo-Denshi; IP69B6
69B6 E0101; Hanyo-Denshi; TK01045800
69B7 E0100; Adobe-Japan1; CID+14654
69B8 E0100; Adobe-Japan1; CID+21788
69BA E0100; Adobe-Japan1; CID+17837
69BA E0101; Hanyo-Denshi; JB3667
69BA E0101; Moji_Joho; MJ014311
69BA E0102; Hanyo-Denshi; JTB36A
69BA E0102; Moji_Joho; MJ014312
69BA E0103; Hanyo-Denshi; TK01075310
69BA E0104; Moji_Joho; MJ014313
69BB E0100; Adobe-Japan1; CID+5265
69BB E0101; Adobe-Japan1; CID+14147
69BB E0102; Hanyo-Denshi; JA6048
69BB E0102; Moji_Joho; MJ014316
69BB E0103; Hanyo-Denshi; KS173620
69BB E0103; Moji_Joho; MJ014317
69BB E0104; Hanyo-Denshi; FT2252
69BB E0104; Moji_Joho; MJ014318
69BC E0100; Adobe-Japan1; CID+17838
69BD E0100; Hanyo-Denshi; IP69BD
69BD E0101; Hanyo-Denshi; TK01045810
69BE E0100; Adobe-Japan1; CID+5260
69BF E0100; Adobe-Japan1; CID+5257
69C0 E0100; Adobe-Japan1; CID+17839
69C1 E0100; Adobe-Japan1; CID+5258
69C1 E0101; Adobe-Japan1; CID+13722
69C1 E0102; Hanyo-Denshi; JA6041
69C1 E0102; Moji_Joho; MJ014325
69C1 E0103; Hanyo-Denshi; JTB381
69C1 E0103; Moji_Joho; MJ014326
69C3 E0100; Adobe-Japan1; CID+5266
69C4 E0100; Hanyo-Denshi; IP69C4
69C4 E0101; Hanyo-Denshi; TK01045820
69C5 E0100; Adobe-Japan1; CID+21789
69C7 E0100; Adobe-Japan1; CID+7475
69C7 E0101; Hanyo-Denshi; JA8402
69C7 E0101; Moji_Joho; MJ014333
69C7 E0102; Hanyo-Denshi; JTB366
69C7 E0102; Moji_Joho; MJ014334
69C7 E0103; Moji_Joho; MJ014357
69C8 E0100; Adobe-Japan1; CID+21790
69CA E0100; Adobe-Japan1; CID+5263
69CB E0100; Adobe-Japan1; CID+1999
69CB E0101; Adobe-Japan1; CID+13767
69CB E0102; Hanyo-Denshi; JA2529
69CB E0102; Moji_Joho; MJ014339
69CB E0103; Hanyo-Denshi; JTB35D
69CB E0103; Moji_Joho; MJ014338
69CC E0100; Adobe-Japan1; CID+3044
69CC E0101; Adobe-Japan1; CID+7744
69CC E0102; Hanyo-Denshi; JA3640
69CC E0102; Moji_Joho; MJ014340
69CC E0103; Hanyo-Denshi; FT1863
69CC E0103; Moji_Joho; MJ014341
69CD E0100; Adobe-Japan1; CID+2790
69CE E0100; Adobe-Japan1; CID+5261
69CF E0100; Adobe-Japan1; CID+16909
69CF E0101; Hanyo-Denshi; JC8593
69CF E0101; Moji_Joho; MJ014346
69CF E0102; Hanyo-Denshi; IB0235
69CF E0102; Moji_Joho; MJ014345
69CF E0103; Hanyo-Denshi; IP69CF
69CF E0103; Moji_Joho; MJ014344
69D0 E0100; Adobe-Japan1; CID+5256
69D1 E0100; Adobe-Japan1; CID+17840
69D3 E0100; Adobe-Japan1; CID+5259
69D6 E0100; Adobe-Japan1; CID+14655
69D7 E0100; Adobe-Japan1; CID+14656
69D8 E0100; Adobe-Japan1; CID+3895
69D9 E0100; Adobe-Japan1; CID+3736
69D9 E0101; Adobe-Japan1; CID+14045
69D9 E0102; Hanyo-Denshi; JA4374
69D9 E0103; Hanyo-Denshi; IB2138
69D9 E0104; Hanyo-Denshi; TK01045990
69DD E0100; Adobe-Japan1; CID+5264
69DE E0100; Adobe-Japan1; CID+5274
69E2 E0100; Adobe-Japan1; CID+8501
69E2 E0101; Hanyo-Denshi; JB3674
69E2 E0101; Moji_Joho; MJ014361
69E2 E0102; Hanyo-Denshi; JTB36C
69E2 E0102; Moji_Joho; MJ059729
69E2 E0103; Hanyo-Denshi; JTB388
69E2 E0103; Moji_Joho; MJ014362
69E3 E0100; Adobe-Japan1; CID+17844
69E4 E0100; Hanyo-Denshi; IB0717
69E4 E0100; Moji_Joho; MJ014364
69E4 E0101; Hanyo-Denshi; IP69E4
69E4 E0101; Moji_Joho; MJ014365
69E5 E0100; Adobe-Japan1; CID+19464
69E7 E0100; Adobe-Japan1; CID+5282
69E8 E0100; Adobe-Japan1; CID+5275
69E9 E0100; Adobe-Japan1; CID+16912
69E9 E0101; Hanyo-Denshi; JC8603
69E9 E0101; Moji_Joho; MJ014372
69E9 E0102; Hanyo-Denshi; KS173870
69E9 E0102; Moji_Joho; MJ014370
69E9 E0103; Hanyo-Denshi; IB2132S
69E9 E0103; Moji_Joho; MJ014371
69EA E0100; Adobe-Japan1; CID+13329
69EA E0101; Adobe-Japan1; CID+13679
69EA E0102; Hanyo-Denshi; JC8604
69EA E0102; Moji_Joho; MJ014375
69EA E0103; Hanyo-Denshi; JTB384
69EA E0103; Moji_Joho; MJ014374
69EA E0104; Hanyo-Denshi; JTB385
69EA E0104; Moji_Joho; MJ014373
69EB E0100; Adobe-Japan1; CID+5288
69EB E0101; Hanyo-Denshi; JA6071
69EB E0101; Moji_Joho; MJ014376
69EB E0102; Hanyo-Denshi; JTB353
69EB E0102; Moji_Joho; MJ014377
69EB E0103; Hanyo-Denshi; TK01046040
69ED E0100; Adobe-Japan1; CID+5286
69EE E0100; Adobe-Japan1; CID+17845
69EF E0100; Adobe-Japan1; CID+17846
69F1 E0100; Adobe-Japan1; CID+19465
69F1 E0101; Hanyo-Denshi; JB3678
69F1 E0101; Moji_Joho; MJ014384
69F1 E0102; Hanyo-Denshi; KS175330
69F1 E0102; Moji_Joho; MJ014385
69F2 E0100; Adobe-Japan1; CID+5281
69F3 E0100; Adobe-Japan1; CID+17847
69F4 E0100; Adobe-Japan1; CID+17849
69F5 E0100; Adobe-Japan1; CID+16913
69F6 E0100; Adobe-Japan1; CID+14143
69F9 E0100; Adobe-Japan1; CID+5280
69FB E0100; Adobe-Japan1; CID+3052
69FD E0100; Adobe-Japan1; CID+2791
69FE E0100; Adobe-Japan1; CID+17850
69FE E0101; Adobe-Japan1; CID+21791
69FE E0102; Hanyo-Denshi; JB3681
69FE E0102; Moji_Joho; MJ014398
69FE E0103; Hanyo-Denshi; JD1542
69FE E0103; Moji_Joho; MJ014399
69FF E0100; Adobe-Japan1; CID+5278
69FF E0101; Hanyo-Denshi; JA6061
69FF E0101; Moji_Joho; MJ014400
69FF E0102; Hanyo-Denshi; FT2255
69FF E0102; Moji_Joho; MJ014401
69FF E0103; Hanyo-Denshi; JTB389
69FF E0103; Moji_Joho; MJ014402
69FF E0104; Hanyo-Denshi; TK01045430
69FF E0105; Hanyo-Denshi; TK01045490
6A00 E0100; Adobe-Japan1; CID+21792
6A01 E0100; Adobe-Japan1; CID+14657
6A01 E0101; Hanyo-Denshi; JB3683
6A01 E0102; Hanyo-Denshi; TK01045830
6A02 E0100; Adobe-Japan1; CID+5276
6A02 E0101; Hanyo-Denshi; JA6059
6A02 E0102; Hanyo-Denshi; TK01045600
6A03 E0100; Adobe-Japan1; CID+21793
6A05 E0100; Adobe-Japan1; CID+5283
6A0A E0100; Adobe-Japan1; CID+5289
6A0B E0100; Adobe-Japan1; CID+3465
6A0B E0101; Adobe-Japan1; CID+7780
6A0B E0102; Hanyo-Denshi; JA4085
6A0B E0102; Moji_Joho; MJ014416
6A0B E0103; Hanyo-Denshi; FT1907
6A0B E0103; Moji_Joho; MJ014417
6A0C E0100; Adobe-Japan1; CID+5295
6A0F E0100; Adobe-Japan1; CID+14658
6A11 E0100; Adobe-Japan1; CID+17851
6A12 E0100; Adobe-Japan1; CID+5290
6A13 E0100; Adobe-Japan1; CID+5293
6A13 E0101; Hanyo-Denshi; JA6076
6A13 E0101; Moji_Joho; MJ014425
6A13 E0102; Hanyo-Denshi; KS175440
6A13 E0102; Moji_Joho; MJ057816
6A13 E0103; Hanyo-Denshi; TK01045290
6A13 E0104; Hanyo-Denshi; TK01045330
6A13 E0105; Hanyo-Denshi; TK01046130
6A14 E0100; Adobe-Japan1; CID+5287
6A14 E0101; Hanyo-Denshi; JA6070
6A14 E0101; Moji_Joho; MJ014426
6A14 E0102; Hanyo-Denshi; FT2257
6A14 E0102; Moji_Joho; MJ014427
6A15 E0100; Adobe-Japan1; CID+14659
6A17 E0100; Adobe-Japan1; CID+2994
6A17 E0101; Hanyo-Denshi; JA3584
6A17 E0102; Hanyo-Denshi; TK01046020
6A19 E0100; Adobe-Japan1; CID+3498
6A1A E0100; Adobe-Japan1; CID+17852
6A1B E0100; Adobe-Japan1; CID+5277
6A1B E0101; Hanyo-Denshi; JA6060
6A1B E0101; Moji_Joho; MJ014434
6A1B E0102; Hanyo-Denshi; FT2254
6A1B E0102; Moji_Joho; MJ014435
6A1D E0100; Adobe-Japan1; CID+17853
6A1E E0100; Adobe-Japan1; CID+5285
6A1E E0101; Hanyo-Denshi; JA6068
6A1E E0101; Moji_Joho; MJ014438
6A1E E0102; Hanyo-Denshi; KS175500
6A1E E0102; Moji_Joho; MJ014439
6A1F E0100; Adobe-Japan1; CID+2472
6A1F E0101; Hanyo-Denshi; JA3032
6A1F E0101; Moji_Joho; MJ014440
6A1F E0102; Hanyo-Denshi; KS175400
6A1F E0102; Moji_Joho; MJ014441
6A20 E0100; Adobe-Japan1; CID+21794
6A20 E0101; Hanyo-Denshi; JB3690
6A20 E0102; Hanyo-Denshi; TK01046470
6A21 E0100; Adobe-Japan1; CID+3803
6A21 E0101; Hanyo-Denshi; JA4447
6A21 E0101; Moji_Joho; MJ014443
6A21 E0102; Hanyo-Denshi; KS174770
6A21 E0102; Moji_Joho; MJ014444
6A22 E0100; Adobe-Japan1; CID+5305
6A23 E0100; Adobe-Japan1; CID+5292
6A23 E0101; Hanyo-Denshi; JA6075
6A23 E0101; Moji_Joho; MJ014446
6A23 E0102; Hanyo-Denshi; JTB392
6A23 E0102; Moji_Joho; MJ014447
6A24 E0100; Adobe-Japan1; CID+21795
6A27 E0100; Hanyo-Denshi; IP6A27
6A27 E0101; Hanyo-Denshi; JTB371
6A28 E0100; Adobe-Japan1; CID+14660
6A29 E0100; Adobe-Japan1; CID+1878
6A2A E0100; Adobe-Japan1; CID+1315
6A2A E0101; Hanyo-Denshi; JA1803
6A2A E0101; Moji_Joho; MJ014455
6A2A E0102; Hanyo-Denshi; JTB38A
6A2A E0102; Moji_Joho; MJ014456
6A2A E0103; Hanyo-Denshi; TK01045930
6A2A E0104; Hanyo-Denshi; TK01046010
6A2B E0100; Adobe-Japan1; CID+1469
6A2E E0100; Adobe-Japan1; CID+5268
6A2E E0101; Hanyo-Denshi; JA6051
6A2E E0102; Hanyo-Denshi; JTB383
6A30 E0100; Adobe-Japan1; CID+8502
6A32 E0100; Adobe-Japan1; CID+17855
6A33 E0100; Adobe-Japan1; CID+17856
6A33 E0101; Hanyo-Denshi; JD1548
6A33 E0102; Hanyo-Denshi; TK01046680
6A34 E0100; Adobe-Japan1; CID+14661
6A34 E0101; Hanyo-Denshi; JB3701
6A34 E0101; Moji_Joho; MJ014466
6A34 E0102; Hanyo-Denshi; KS177170
6A34 E0102; Moji_Joho; MJ014467
6A35 E0100; Adobe-Japan1; CID+2473
6A36 E0100; Adobe-Japan1; CID+5297
6A36 E0101; Hanyo-Denshi; JA6080
6A36 E0101; Moji_Joho; MJ014471
6A36 E0102; Hanyo-Denshi; KS175570
6A36 E0102; Moji_Joho; MJ014470
6A37 E0100; Adobe-Japan1; CID+21796
6A38 E0100; Adobe-Japan1; CID+5304
6A39 E0100; Adobe-Japan1; CID+2341
6A39 E0101; Moji_Joho; MJ014474
6A39 E0102; Moji_Joho; MJ014475
6A3A E0100; Adobe-Japan1; CID+1488
6A3A E0101; Hanyo-Denshi; JA1982
6A3A E0101; Moji_Joho; MJ014476
6A3A E0102; Hanyo-Denshi; KS175630
6A3A E0102; Moji_Joho; MJ014477
6A3B E0100; Adobe-Japan1; CID+16915
6A3D E0100; Adobe-Japan1; CID+2924
6A3D E0101; Adobe-Japan1; CID+7738
6A3D E0102; Hanyo-Denshi; JA3514
6A3D E0102; Moji_Joho; MJ014481
6A3D E0103; Hanyo-Denshi; HG1647
6A3D E0103; Moji_Joho; MJ014480
6A3E E0100; Adobe-Japan1; CID+14662
6A3F E0100; Adobe-Japan1; CID+17857
6A44 E0100; Adobe-Japan1; CID+5294
6A44 E0101; Adobe-Japan1; CID+13554
6A44 E0102; Moji_Joho; MJ014488
6A44 E0103; Moji_Joho; MJ014489
6A45 E0100; Adobe-Japan1; CID+14663
6A46 E0100; Adobe-Japan1; CID+8504
6A47 E0100; Adobe-Japan1; CID+5299
6A48 E0100; Adobe-Japan1; CID+5303
6A49 E0100; Adobe-Japan1; CID+17858
6A49 E0101; Hanyo-Denshi; JB3708
6A49 E0101; Moji_Joho; MJ014494
6A49 E0102; Hanyo-Denshi; IB2149
6A49 E0102; Moji_Joho; MJ014495
6A4A E0100; Adobe-Japan1; CID+19466
6A4B E0100; Adobe-Japan1; CID+1710
6A4E E0100; Adobe-Japan1; CID+17860
6A50 E0100; Adobe-Japan1; CID+14664
6A51 E0100; Adobe-Japan1; CID+14665
6A52 E0100; Adobe-Japan1; CID+17861
6A54 E0100; Adobe-Japan1; CID+15412
6A55 E0100; Adobe-Japan1; CID+19467
6A55 E0101; Adobe-Japan1; CID+21797
6A56 E0100; Adobe-Japan1; CID+14666
